year,extreme_heat_days
2021,0.23
2022,1.24
2023,0.03
2024,0.0
2025,0.0
2026,1.81
2027,0.07
2028,0.33
2029,0.0
2030,0.02
2031,0.55
2032,0.0
2033,0.5
2034,0.03
2035,0.0
2036,0.62
2037,0.01
2038,0.16
2039,0.47
2040,0.0
2041,0.33
2042,0.4
2043,0.06
2044,0.49
2045,0.0
2046,0.01
2047,0.0
2048,1.96
2049,0.0
2050,0.32
2051,0.43
2052,0.92
2053,0.01
2054,0.0
2055,0.0
2056,0.01
2057,0.13
2058,0.01
2059,0.74
2060,0.69
2061,0.94
2062,1.44
2063,0.03
2064,0.34
2065,0.0
2066,0.01
2067,2.83
2068,0.37
2069,0.0
2070,0.01
2071,0.03
2072,0.92
2073,0.04
2074,0.08
2075,0.0
2076,1.76
2077,0.01
2078,1.64
2079,0.33
2080,0.76
2081,0.13
2082,0.1
2083,0.01
2084,0.39
2085,1.74
2086,1.13
2087,0.01
2088,0.0
2089,0.25
2090,0.0
2091,0.04
2092,1.67
2093,0.06
2094,0.02
2095,0.69
2096,0.02
2097,5.12
2098,0.0
2099,0.09
2100,0.85
